HSNCode,Description of Goods,CGST,SGST,IGST
2605,Cobalt    ores and concentrates.,2.5,2.5,5
2606,Aluminium    ores and concentrates.,2.5,2.5,5
2607,Lead    ores and concentrates.,2.5,2.5,5
2608,Zinc    ores and concentrates.,2.5,2.5,5
2609,Tin    ores and concentrates.,2.5,2.5,5
2610,Chromium    ores and concentrates.,2.5,2.5,5
2611,Tungsten    ores and concentrates.,2.5,2.5,5
2612,Uranium    or thorium ores and concentrates.,2.5,2.5,5
2613,Molybdenum    ores and concentrates.,2.5,2.5,5
2614,Titanium    ores and concentrates.,2.5,2.5,5
2615,"Niobium,    tantalum, vanadium or zirconium ores and concentrates.",2.5,2.5,5
2616,Precious    metal ores and concentrates.,2.5,2.5,5
2617,Other    ores and concentrates,2.5,2.5,5
2618,Granulated    slag (slag sand) from the manufacture of iron or steel ,2.5,2.5,5
2619,"Slag,    dross (other than granulated slag), scalings and other waste from the    manufacture of iron or steel",9,9,18
2620,"Slag,    ash and residues (other than from the manufacture of iron or steel)    containing metals, arsenic or their compounds",9,9,18
2621,Fly    Ash,2.5,2.5,5
2701,"Coal;    briquettes, ovoids and similar solid fuels manufactured from coal",2.5,2.5,5
2702,"Lignite,    whether or not agglomerated, excluding jet",2.5,2.5,5
2703,"Peat    (including peat litter), whether or not agglomerated",2.5,2.5,5
2704,"Coke    and semi coke of coal, of lignite or of peat, whether or not agglomerated;    retort carbon",2.5,2.5,5
2705,"Coal    gas, water gas, producer gas and similar gases, other than petroleum gases    and other gaseous hydrocarbons",2.5,2.5,5
2706,"Tar    distilled from other mineral tars, whether or not dehydrated or partially    distilled, including reconstituted tars",9,9,18
2707,"Oils    and other products of the distillation of high temperature coal tar; similar    products in which the weight of the aromatic constituents exceeds that of the    non-aromatic constituents, such as Benzole (benzene), Toluole (toluene),    Xylole (xylenes), Naphthelene",9,9,18
2708,"Pitch    and pitch coke, obtained from coal tar or from other mineral tars",9,9,18
2710,"(a) kerosene oil PDS, (b) The following bunker fuels for use in ships or vessels, namely, i. IFO 180 CST, ii. IFO 380 CST, iii. Marine Fuel 0.5% (FO)",2.5,2.5,5
2711,"Petroleum gases    and other gaseous hydrocarbons, such as Propane, Butanes, Ethylene,    propylene, butylene and butadiene [Other than Liquefied Propane and Butane    mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases    (LPG) for supply to household domestic consumers or to non-domestic exempted    category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan    petroleum Corporation Limited or Bharat Petroleum Corporation Limited]",9,9,18
2712,"Petroleum    jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite,    lignite wax, peat wax, other mineral waxes, and similar products obtained by    synthesis or by other processes, whether or not coloured",9,9,18
2713,"Petroleum    coke, petroleum bitumen and other residues of petroleum oils or of oils    obtained from bituminous minerals",9,9,18
2714,"Bitumen    and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and    asphaltic rocks",9,9,18
2715,"Bituminous    mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen,    on mineral tar or on mineral tar pitch (for example, bituminous mastics,    cut-backs)",9,9,18
2809,Fertilizer grade phosphoric acid,2.5,2.5,5
2835,Dicalcium    phosphate (DCP) of animal feed grade conforming to IS specification No.5470 :    2002,0,0,0
2845,Heavy    water and other nuclear fuels,2.5,2.5,5
2847,Medicinal grade hydrogen peroxide,6,6,12
2853,Compressed    air,2.5,2.5,5
3001,"Glands and    other organs for organo-therapeutic uses, dried, whether or not powdered;    extracts of glands or other organs or of their secretions for    organo-therapeutic uses; heparin and its salts; other human or animal    substances prepared for therapeutic or prophylactic uses, not elsewhere    specified or included",6,6,12
3002,"Animal    blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and    other blood fractions and modified immunological products, whether or not    obtained by means of biotechnological processes; toxins, cultures of    micro-organisms (excluding yeasts) and similar products",6,6,12
3003,"Medicaments    (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more    constituents which have been mixed together for therapeutic or prophylactic    uses, not put up in measured doses or in forms or packings for retail sale,    including Ayurvaedic, Unani, Siddha, homoeopathic or Bio-chemic systems    medicaments",6,6,12
3004,"Medicaments    (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or    unmixed products for therapeutic or prophylactic uses, put up in measured    doses (including those in the form of transdermal administration systems) or    in forms or packings for retail sale, including Ayurvaedic, Unani,    homoeopathic siddha or Bio-chemic systems medicaments, put up for retail sale",6,6,12
3005,"Wadding,    gauze, bandages and similar articles (for example, dressings, adhesive    plasters, poultices), impregnated or coated with pharmaceutical substances or    put up in forms or packings for retail sale for medical, surgical, dental or    veterinary purposes",6,6,12
3006,"Pharmaceutical    goods specified in Note 4 to this Chapter [i.e. Sterile surgical catgut,    similar sterile suture materials (including sterile absorbable surgical or    dental yarns) and sterile tissue adhesives for surgical wound closure;    sterile laminaria and sterile laminaria tents; sterile absorbable surgical or    dental haemostatics; sterile surgical or denatal adhesion barriers, whether    or not absorbable; Waste pharmaceuticals] [other than contraceptives]",6,6,12
3101,All    goods i.e. animal or vegetable fertilisers or organic fertilisers put up in    unit containers and bearing a brand name,2.5,2.5,5
3102,"Mineral    or chemical fertilisers, nitrogenous, which are clearly not to be used as    fertilizers",9,9,18
3103,"Mineral    or chemical fertilisers, phosphatic, which are clearly not to be used as    fertilizers",9,9,18
3104,"Mineral    or chemical fertilisers, potassic, which are clearly not to be used as    fertilizers",9,9,18
3105,"Mineral    or chemical fertilisers containing two or three of the fertilising elements    nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter    in tablets or similar forms or in packages of a gross weight not exceeding 10    kg, which are clearly not to be used as fertilizers",9,9,18
3201,"Tanning    extracts of vegetable origin; tannins and their salts, ethers, esters and    other derivatives (other than Wattle extract, quebracho extract, chestnut    extract)",9,9,18
3202,"Synthetic    organic tanning substances; inorganic tanning substances; tanning    preparations, whether or not containing natural tanning substances (other    than Enzymatic preparations for pre-tanning)",9,9,18
3203,"Colouring    matter of vegetable or animal origin (including dyeing extracts but excluding    animal black), whether or not chemically defined; preparations as specified    in Note 3 to this Chapter based on colouring matter of vegetable or animal    origin",9,9,18
3204,"Synthetic    organic colouring matter, whether or not chemically defined; preparations as    specified in Note 3 to this Chapter based on synthetic organic colouring    matter; synthetic organic products of a kind used as fluorescent brightening    agents or as luminophores, whether or not chemically defined",9,9,18
3205,Colour    lakes  preparations as specified in Note 3 to this Chapter based on colour    lakes,9,9,18
3206,"Other    colouring matter; preparations as specified in Note 3 to this Chapter, other    than those of heading 32.03, 32.04 or 32.05; inorganic products of a kind    used as luminophores, whether or not chemically defined",9,9,18
3207,"Prepared    pigments, prepared opacifiers, prepared colours, vitrifiable enamels, glazes,    engobes (slips), liquid lustres, and other similar preparations of a kind    used in ceramic, enamelling or glass industry; glass frit or other glass, in    the form of powder, granules or flakes",9,9,18
3208,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium; solutions as defined in Note 4 to this Chapter",9,9,18
3209,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium",9,9,18
3210,"Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather",9,9,18
3211,Prepared driers,9,9,18
3212,"Pigments (including metallic powders and flakes) dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints (including enamels); stamping foils; dyes and other colouring matter put up in forms or packings for retail sale",9,9,18
3213,"Artists’, students’ or signboard painters’ colours, modifying tints, amusement colours and the like, in tablets, tubes, jars, bottles, pans or in similar forms or packings",9,9,18
3214,"Glaziers’ putty, grafting putty, resin cements, caulking compounds and other mastics; painters’ fillings; non- refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like",9,9,18
3215,"All    Goods, including printing ink, writing or drawing ink and other inks, whether    or not concentrated or solid, fountain pen ink, ball pen ink",6,6,12
3301,"Following    goods namely:-
     a. Menthol and menthol crystals, 
     b. Peppermint (Mentha Oil), 
     c. Fractionated / de-terpenated mentha    oil (DTMO), 
     d. De-mentholised oil (DMO), 
     e. Spearmint oil, 
     f. Mentha piperita oil",6,6,12
3302,"Mixtures    of odoriferous substances and mixtures (including alcoholic solutions) with a    basis of one or more of these substances, of a kind used as raw materials in    industry; other preparations based on odoriferous substances, of a kind used    for the manufacture of beverages; such as Synthetic perfumery compounds    [other than Menthol and menthol crystals, Peppermint (Mentha Oil),    Fractionated / de-terpenated mentha oil (DTMO), De-mentholised oil (DMO),    Spearmint oil, Mentha piperita oil]",9,9,18
3303,Perfumes    and toilet waters,9,9,18
3304,"Kajal    [other than kajal pencil sticks], Kumkum, Bindi, Sindur, Alta",0,0,0
3305,Mehendi    paste in cones,2.5,2.5,5
3306,"Preparations    for oral or dental hygiene, including denture fixative pastes and powders;    yarn used to clean between the teeth (dental floss), in individual retail    packages [other than tooth powder]",9,9,18
3307,"Pre-shave,    shaving or after-shave preparations, personal deodorants, bath preparations,    depilatories and other perfumery, cosmetic or toilet preparations, not    elsewhere specified or included; prepared room deodorisers, whether or not    perfumed or having disinfectant properties [other than odoriferous    preparations which operate by burning, agarbattis, lobhan, dhoopbatti, dhoop,    sambhrani]",9,9,18
3401,"Soap;    organic surface-active products and preparations for use as soap, in the form    of bars, cakes, moulded pieces or shapes, whether or not containing soap;    organic surface active products and preparations for washing the skin, in the    form of liquid or cream and put up for retail sale, whether or not containing    soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with    soap or detergent",9,9,18
3402,"Organic    surface-active agents (other than soap); surface-active preparations, washing    preparations (including auxiliary washing preparations) and cleaning    preparations, whether or not containing soap, other than those of heading    3401 [other than Sulphonated castor oil, fish oil or sperm oil]",9,9,18
3403,"Lubricating    preparations (including cutting-oil preparations, bolt or nut release    preparations, anti-rust or anti-corrosion preparations and mould release    preparations, based on lubricants) and preparations of a kind used for the    oil or grease treatment of textile materials, leather, furskins or other    materials, but excluding preparations containing, as basic constituents, 70%    or more by weight of petroleum oils or of oils obtained from bituminous    minerals",9,9,18
3404,Artificial    waxes and prepared waxes,9,9,18
3405,"Polishes    and creams, for footwear, furniture, floors, coachwork, glass or metal,    scouring pastes and powders and similar preparations (whether or not in the    form of paper, wadding, felt, nonwovens, cellular plastics or cellular    rubber, impregnated, coated or covered with such preparations), excluding    waxes of heading 3404",9,9,18
3406,Handcrafted candles,6,6,12
3407,"Modelling    pastes, including those put up for children`s amusement; Preparations known    as “dental wax” or as “dental impression compounds”, put up in sets, in    packings for retail sale or in plates, horseshoe shapes, sticks or similar    forms; other preparations for use in dentistry, with a basis of plaster (of    calcined gypsum or calcium sulphate)",9,9,18
3501,"Casein,    caseinates and other casein derivatives; casein glues",9,9,18
3502,"Albumins    (including concentrates of two or more whey proteins, containing by weight    more than 80% whey proteins, calculated on the dry matter), albuminates and    other albumin derivatives",9,9,18
3503,"Gelatin    (including gelatin in rectangular (including square) sheets, whether or not    surface-worked or coloured) and gelatin derivatives; isinglass; other glues    of animal origin, excluding casein glues of heading 3501",9,9,18
3504,"Peptones    and their derivatives; other protein substances and their derivatives, not    elsewhere specified or included; hide powder, whether or not chromed;    including Isolated soya protein",9,9,18
3505,"Dextrins    and other modified starches (for example, pregelatinised or esterified    starches); glues based on starches, or on dextrins or other modified starches",9,9,18
3506,"Prepared    glues and other prepared adhesives, not elsewhere specified or included;    products suitable for use as glues or adhesives, put up for retail sale as    glues or adhesives, not exceeding a net weight of 1 kg",9,9,18
3507,"Enzymes,    prepared enzymes",9,9,18
3601,Propellant    powders,9,9,18
3602,"Prepared    explosives, other than propellant powders; such as Industrial explosives",9,9,18
3603,Safety    fuses  detonating fuses  percussion or detonating caps  electric    detonators,9,9,18
3604,"Fireworks,    signalling flares, rain rockets, fog signals and other pyrotechnic articles",9,9,18
3606,Ferro-cerium    and other pyrophoric alloys in all forms articles of combustible materials    as specified in Note 2 to this Chapter,9,9,18
3701,"Photographic    plates and film in the flat, sensitised, unexposed, of any material other    than paper, paperboard or textiles; instant print film in the flat,    sensitised, unexposed, whether or not in packs; such as Instant print film,    Cinematographic film (other than for x-ray for Medical use)",9,9,18
3702,"Photographic    film in rolls, sensitised, unexposed, of any material other than paper,    paperboard or textiles; instant print film in rolls, sensitised, unexposed",9,9,18
3703,"Photographic    paper, paperboard and textiles, sensitised, unexposed",9,9,18
3704,"Photographic    plates, film, paper, paperboard and textiles, exposed but not developed",9,9,18
3705,"Photographic    plates and films, exposed and developed, other than cinematographic film",6,6,12
3706,"Photographic    plates and films, exposed and developed, whether or not incorporating sound    track or consisting only of sound track, other than feature films.",6,6,12
3707,"Chemical    preparations for photographic uses (other than varnishes, glues, adhesives    and similar preparations); unmixed products for photographic uses, put up in    measured portions or put up for retail sale in a form ready for use",9,9,18
3801,"Artificial    graphite; colloidal or semi-colloidal graphite; preparations based on    graphite or other carbon in the form of pastes, blocks, plates or other    semi-manufactures",9,9,18
3802,"Activated    carbon; activated natural mineral products; animal black, including spent    animal black",9,9,18
3804,"Residual    lyes from the manufacture of wood pulp, whether or not concentrated,    desugared or chemically treated, including lignin sulphonates",9,9,18
3805,"Gum,    wood or sulphate turpentine and other terpenic oils produced by the    distillation or other treatment of coniferous woods; crude dipentene;    sulphite turpentine and other crude para-cymene; pine oil containing    alpha-terpineol as the main constituent",9,9,18
3806,"Rosin    and resin acids, and derivatives thereof; rosin spirit and rosin oils; run    gums",9,9,18
3807,"Wood    tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers`    pitch and similar preparations based on rosin, resin acids or on vegetable    pitch",9,9,18
3808,"The    following Bio-pesticides, namely -
     1 Bacillus thuringiensis var. israelensis
     2 Bacillus thuringiensis var. kurstaki
     3 Bacillus thuringiensis var. galleriae
     4 Bacillus sphaericus
     5 Trichoderma viride
     6 Trichoderma harzianum
     7 Pseudomonas fluoresens
     8 Beauveriabassiana
     9 NPV of Helicoverpaarmigera
     10 NPV of Spodopteralitura
     11 Neem based pesticides
     12 Cymbopogan",6,6,12
3809,"Finishing    agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and    other products and preparations (for example, dressings and mordants), of a    kind used in the textile, paper, leather or like industries, not elsewhere    specified or included",9,9,18
3810,"Pickling    preparations for metal surfaces; fluxes and other auxiliary preparations for    soldering, brazing or welding; soldering, brazing or welding powders and    pastes consisting of metal and other materials; preparations of a kind used    as cores or coatings for welding electrodes or rods",9,9,18
3811,"Anti-knock    preparations, oxidation inhibitors, gum inhibitors, viscosity improvers,    anti-corrosive preparations and other prepared additives, for mineral oils    (including gasoline) or for other liquids used for the same purposes as    mineral oils",9,9,18
3812,"Prepared    rubber accelerators; compound plasticisers for rubber or plastics, not    elsewhere specified or included; anti-oxidising preparations and other    compound stabilisers for rubber or plastics.; such as Vulcanizing agents for    rubber",9,9,18
3813,Preparations    and charges for fire-extinguishers  charged fire-extinguishing grenades,9,9,18
3814,"Organic    composite solvents and thinners, not elsewhere specified or included;    prepared paint or varnish removers",9,9,18
3815,"Reaction    initiators, reaction accelerators and catalytic preparations, not elsewhere    specified or included",9,9,18
3816,"Refractory    cements, mortars, concretes and similar compositions, other than products of    heading 3801",9,9,18
3817,"Mixed    alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 2707    or 2902",9,9,18
3818,"Chemical    elements doped for use in electronics, in the form of discs, wafers or    similar forms; chemical compounds doped for use in electronics [other than    silicon wafers]",9,9,18
3819,"Hydraulic    brake fluids and other prepared liquids for hydraulic transmission, not    containing or containing less than 70% by weight of petroleum oils or oils    obtained from bituminous minerals",9,9,18
3820,Anti-freezing    preparations and prepared de-icing fluids,9,9,18
3821,"Prepared    culture media for the development or maintenance of micro-organisms    (including viruses and the like) or of plant, human or animal cells",9,9,18
3822,All    diagnostic kits and reagents,6,6,12
3823,"Industrial    monocarboxylic fatty acids, acid oils from refining; industrial fatty    alcohols",9,9,18
3824,"Prepared    binders for foundry moulds or cores; chemical products and preparations of    the chemical or allied industries (including those consisting of mixtures of    natural products), not elsewhere specified or included",9,9,18
3825,"Municipal    waste, sewage sludge, clinical waste",0,0,0
3826,Bio-diesel,6,6,12
3901,"All    goods i.e. polymers; Polyacetals, other polyethers, epoxide resins,    polycarbonates, alkyd resins, polyallyl esters, other polyesters; polyamides;    Amino-resins, phenolic resins and polyurethanes; silicones; Petroleum resins,    coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other    products specified in Note 3 to this Chapter, not elsewhere specified or    included; Cellulose and its chemical derivatives, not elsewhere specified or    included; Natural polymers (for example, alginic acid) and modified natural    polymers (for example, hardened proteins, chemical derivatives of natural    rubber), not elsewhere specified or included; in primary forms",9,9,18
3914,"Ion    exchangers based on polymers of headings 3901 to 3913, in primary forms",9,9,18
3915,"Waste,    parings or scrap, of plastics",2.5,2.5,5
3916,"Monofilament    of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile    shapes, whether or not surface-worked but not otherwise worked, of plastics",9,9,18
3917,"Tubes,    pipes and hoses, and fittings therefor, of plastics",9,9,18
3918,"Floor    coverings of plastics, whether or not self-adhesive, in rolls or in form of    tiles; wall or ceiling coverings of plastics",9,9,18
3919,"Self-adhesive    plates, sheets, film, foil, tape, strip and other flat shapes, of plastics,    whether or not in rolls",9,9,18
3920,"Other    plates, sheets, film, foil and strip, of plastics, non-cellular and not    reinforced, laminated, supported or similarly combined with other materials",9,9,18
3921,"Other    plates, sheets, film, foil and strip, of plastics",9,9,18
3922,"Baths,    shower baths, sinks, wash basins, bidets, lavatory pans, seats and covers,    flushing cisterns and similar sanitary ware of plastics",9,9,18
3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics (except the items covered in Sl. No. 80AA in Schedule II])",9,9,18
3924,"Tableware,    kitchenware, other household articles and hygienic or toilet articles, of    plastics",9,9,18
3925,"Builder`s    wares of plastics, not elsewhere specified",9,9,18
3926,Feeding    bottles,6,6,12
4001,"Natural    rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in    primary forms or in plates, sheets or strip",2.5,2.5,5
4002,"Synthetic    rubber and factice derived from oils, in primary forms or in plates, sheets    or strip; mixtures of any product of heading 4001 with any product of this    heading, in primary forms or in plates, sheets or strip; such as Latex,    styrene butadiene rubber, butadiene rubber (BR), Isobutene-isoprene (butyl)    rubber (IIR), Ethylene-propylene-Non-conjugated diene rubber (EPDM)",9,9,18
4003,"Reclaimed    rubber in primary forms or in plates, sheets or strip",9,9,18
4004,"powders    and granules obtained from waste, parings and scrap of rubber (other than    hard rubber)",9,9,18
4005,"Compounded    rubber, unvulcanised, in primary forms or in plates, sheets or strip",9,9,18
4006,"Other    forms (for example, rods, tubes and profile shapes) and articles (for    example, discs and rings), of unvulcanised rubber",9,9,18
4007,"Vulcanised    rubber thread and cord, other than latex rubber thread",9,9,18
4008,"Plates,    sheets, strip, rods and profile shapes, of vulcanised rubber other than hard    rubber",9,9,18
4009,"Tubes,    pipes and hoses, of vulcanised rubber other than hard rubber, with or without    their fittings (for example, joints, elbows, flanges)",9,9,18
4010,"Conveyor    or transmission belts or belting, of vulcanised rubber",9,9,18
4011,Rear    Tractor tyres and rear tractor tyre tubes,9,9,18
4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",9,9,18
4013,"Pneumatic    tyres or inner tubes, of rubber, of a kind used on / in bicycles, cycle    -rickshaws and three wheeled powered cycle rickshaws",2.5,2.5,5
4014,Condoms    and contraceptives,0,0,0
4015,Surgical    rubber gloves or medical examination rubber gloves,6,6,12
4016,Erasers,2.5,2.5,5
4017,"Hard    rubber (for example ebonite) in all forms, other than waste and scrap;    articles of hard rubber",9,9,18
4101,"Raw    hides and skins of bovine (including buffalo) or equine animals (fresh, or    salted, dried, limed, pickled or otherwise preserved, but not tanned,    parchment-dressed or further prepared), whether or not dehairedor split",2.5,2.5,5
4102,"Raw    skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise    preserved, but not tanned, parchment-dressed or further prepared), whether or    not with wool on or split",2.5,2.5,5
4103,"Other    raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise    preserved, but not tanned, parchment-dressed or further prepared), whether or    not dehaired or split",2.5,2.5,5
4104,"Tanned    or crust hides and skins of bovine (including buffalo) or equine animals,    without hair on, whether or not split, but not further prepared",2.5,2.5,5
4105,"Tanned    or crust skins of sheep or lambs, without wool on, whether or not split, but    not further prepared",2.5,2.5,5
4106,"Tanned or crust    hides and skins of other animals, without wool or hair on, whether or not    split, but not further prepared",2.5,2.5,5
4107,"Leather    further prepared after tanning or crusting, including parchment-dressed    leather, of bovine (including buffalo) or equine animals, without hair on,    whether or not split, other than leather of heading 4114",2.5,2.5,5
4112,"Leather    further prepared after tanning or crusting, including parchment-dressed    leather, of sheep or lamb, without wool on, whether or not split, other than    leather of heading 4114",2.5,2.5,5
4113,"Leather    further prepared after tanning or crusting, including parchment-dressed    leather, of other animals, without wool or hair on, whether or not split,    other than leather of heading 4114",2.5,2.5,5
4114,Chamois    (including combination chamois) leather patent leather and patent lamimetallised leathernated    leather,2.5,2.5,5
4115,"Composition    leather with a basis of leather or leather fibre, in slabs, sheets or strip,    whether or not in rolls; parings and other waste of leather or of composition    leather, not suitable for the manufacture of leather articles; leather dust,    powder and flour",2.5,2.5,5
4201,"Saddlery    and harness for any animal (including traces, leads, knee pads, muzzles,    saddle cloths, saddle bags, dog coats and the like), of any material",9,9,18
4202,"Trunks,    suit-cases, vanity-cases, executive-cases, brief-cases, school satchels,    spectacle cases, binocular cases, camera cases, musical instrument cases, gun    cases, holsters and similar containers; travelling-bags, insulated food or    beverages bags, toilet bags, rucksacks, handbags, shopping bags, wallets,    purses, map-cases, cigarette-cases, tobacco- pouches, tool bags, sports bags,    bottle-cases, jewellery boxes, powder-boxes, cutlery cases and similar    containers, of leather, of sheeting of plastics, of textile materials, of    vulcanised fibre or of paperboard, or wholly or mainly covered with such    materials or with paper [other than handbags and shopping bags, of cotton or    jute]",9,9,18
4203,Gloves    specially designed for use in sports,6,6,12
4205,Other    articles of leather or of composition leather,9,9,18
4206,"Articles    of gut (other than silk-worm gut), of goldbeater`s skin, of bladders or of    tendons",9,9,18
4301,"Raw    furskins (including heads, tails, paws and other pieces or cuttings, suitable    for furriers` use), other than raw hides and skins of heading 4101, 4102 or    4103.",9,9,18
4302,"Tanned    or dressed furskins (including heads, tails, paws and other pieces or    cuttings), unassembled, or assembled (without the addition of other    materials) other than those of heading 4303",9,9,18
4303,"Articles    of apparel, clothing accessories and other articles of furskin",9,9,18
4304,Artificial    fur and articles thereof,9,9,18
4401,Firewood    or fuel wood,0,0,0
4402,"Wood    charcoal (including shell or nut charcoal), whether or not agglomerated",0,0,0
4403,Wood    in the rough,9,9,18
4404,"Hoopwood;    split poles; piles, pickets and stakes of wood, pointed but not sawn    lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise    worked, suitable for the manufacture of walking-sticks, umbrellas, tool    handles or the like",6,6,12
4405,Wood    wool  wood flour,6,6,12
4406,Railway    or tramway sleepers (cross-ties) of wood,6,6,12
4407,Wood    sawn or chipped,9,9,18
4408,"Sheets    for veneering (including those obtained by slicing laminated wood), for    plywood or for similar laminated wood and other wood, sawn lengthwise, sliced    or peeled, whether or not planed, sanded, spliced or end-jointed, of a    thickness not exceeding 6 mm [other than for match splints]",9,9,18
4409,Bamboo flooring,6,6,12
4410,"Particle    board, Oriented Strand Board and similar board (for example, wafer board) of    wood or other ligneous materials, whether or not agglomerated with resins or    other organic binding substances, other than specified boards",9,9,18
4411,"Fibre    board of wood or other ligneous materials, whether or not bonded with resins    or other organic substances, other than specified boards",9,9,18
4412,"Plywood,    veneered panels and similar laminated wood",9,9,18
4413,"Densified    wood, in blocks, plates, strips, or profile shapes",9,9,18
4414,"Wooden    frames for paintings, photographs, mirrors or similar objects",9,9,18
4415,"Packing    cases, boxes, crates, drums and similar packings, of wood; cable-drums of    wood; pallets, box pallets and other load boards, of wood; pallet collars of    wood",6,6,12
4416,"Casks,    barrels, vats, tubs and other coopers` products and parts thereof, of wood,    including staves",6,6,12
4417,"Tools,    tool bodies, tool handles, broom or brush bodies and handles, of wood; boot    or shoe lasts and trees, of wood",6,6,12
4418,"Builders’    joinery and carpentry of wood, including cellular wood panels, assembled    flooring panels, shingles and shakes [other than bamboo wood building    joinery]",9,9,18
4419,Tableware    and Kitchenware of wood,6,6,12
4420,"Wood    marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and    similar articles, of wood; statuettes and other ornaments, of wood; wooden    articles of furniture not falling in Chapter 94",6,6,12
4421,"Other    articles of wood; such as clothes hangers, Spools,  cops,     bobbins,  sewing thread reels    and the like of turned wood for various textile machinery, Match splints,    Pencil slats, Parts of wood,  namely    oars,  paddles and rudders for ships,    boats and other similar floating structures, Parts of domestic decorative articles    used as tableware and kitchenware [other than Wood paving blocks, articles of    densified wood not elsewhere included or specified, Parts of domestic    decorative articles used as tableware and kitchenware]",6,6,12
4501,"Waste    cork; crushed, granulated or ground cork",9,9,18
4503,"Articles of natural cork such as Corks and Stoppers, Shuttlecock cork bottom",6,6,12
4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,6,6,12
4602,"Mats, matting and screens of vegetable material, basketwork, wickerwork and other articles of vegetable materials or other plaiting material, articles of loofah (including of bamboo, rattan, canes and other natural fibres, dry flowers (naturally dried), articles thereof, ringal, raambaan article, shola items, Kouna/chumthang (water reeds) crafts, articles of Water hyacinth, korai mat]",2.5,2.5,5
4701,Mechanical    wood pulp,6,6,12
4702,"Chemical    wood pulp, dissolving grades",6,6,12
4703,"Chemical    wood pulp, soda or sulphate, other than dissolving grades",6,6,12
4704,"Chemical    wood pulp, sulphite, other than dissolving grades",6,6,12
4705,Wood    pulp obtained by a combination of mechanical and chemical pulping processes,6,6,12
4706,Pulps    of fibres derived from recovered (waste and scrap) paper or paperboard or of    other fibrous cellulosic material,6,6,12
4707,Recovered    waste or scrap of paper or paperboard,2.5,2.5,5
4801,"Newsprint,    in rolls or sheets",2.5,2.5,5
4802,"Judicial,    Non-judicial stamp papers, Court fee stamps when sold by the Government    Treasuries or Vendors authorized by the Government",0,0,0
4803,"Toilet    or facial tissue stock, towel or napkin stock and similar paper of a kind    used for household or sanitary purposes, cellulose wadding and webs of    cellulose fibres, whether or not creped, crinkled, embossed, perforated,    surface-coloured, surface-decorated or printed, in rolls or sheets",9,9,18
4804,"Uncoated    kraft paper and paperboard, in rolls or sheets, other than that of heading    4802 or 4803",6,6,12
4805,"Other    uncoated paper and paperboard, in rolls or sheets, not further worked or    processed than as specified in Note 3 to this Chapter",6,6,12
4806,"Vegetable    parchment, tracing papers and other glazed transparent or translucent papers,    in rolls or sheets (other than greaseproof paper, glassine paper)",9,9,18
4807,"Composite    paper and paperboard (made by sticking flat layers of paper or paperboard    together with an adhesive), not surface-coated or impregnated, whether or not    internally reinforced, in rolls or sheets",6,6,12
4808,"Paper and    paperboard, corrugated (with or without glued flat surface sheets), creped,    crinkled, embossed or perforated, in rolls or sheets, other than paper of the    kind described in heading 4803",6,6,12
4809,"Carbon    paper, self-copy paper and other copying or transfer papers (including coated    or impregnated paper for duplicator stencils or offset plates), whether or    not printed, in rolls or sheets",9,9,18
4810,"Paper    and paperboard, coated on one or both sides with kaolin (China clay) or other    inorganic substances, with or without a binder, and with no other coating,    whether or not surface-coloured, surface-decorated or printed, in rolls or    rectangular (including square) sheets of any size",6,6,12
4811,"Paper,    paperboard, cellulose wadding and webs of cellulose fibres, coated,    impregnated, covered, surface-coloured, surface-decorated or printed, in    rolls or rectangular (including square) sheets, of any size, other than goods    of the kind described in heading 4803, 4809 or 4810 [Other than aseptic    packaging paper]",9,9,18
